feature,min_value,max_value
mfcc_1,-100.0,100.0
mfcc_2,-100.0,100.0
mfcc_3,-100.0,100.0
mfcc_4,-100.0,100.0
mfcc_5,-100.0,100.0
mfcc_6,-100.0,100.0
mfcc_7,-100.0,100.0
mfcc_8,-100.0,100.0
mfcc_9,-100.0,100.0
mfcc_10,-100.0,100.0
mfcc_11,-100.0,100.0
mfcc_12,-100.0,100.0
mfcc_13,-100.0,100.0
mfcc_14,-100.0,100.0
mfcc_15,-100.0,100.0
mfcc_16,-100.0,100.0
mfcc_17,-100.0,100.0
mfcc_18,-100.0,100.0
mfcc_19,-100.0,100.0
mfcc_20,-100.0,100.0
mfcc_21,-100.0,100.0
mfcc_22,-100.0,100.0
mfcc_23,-100.0,100.0
mfcc_24,-100.0,100.0
mfcc_25,-100.0,100.0
mfcc_26,-100.0,100.0
mfcc_27,-100.0,100.0
mfcc_28,-100.0,100.0
mfcc_29,-100.0,100.0
mfcc_30,-100.0,100.0
mfcc_31,-100.0,100.0
mfcc_32,-100.0,100.0
mfcc_33,-100.0,100.0
mfcc_34,-100.0,100.0
mfcc_35,-100.0,100.0
mfcc_36,-100.0,100.0
mfcc_37,-100.0,100.0
mfcc_38,-100.0,100.0
mfcc_39,-100.0,100.0
mfcc_40,-100.0,100.0
mfcc_41,-100.0,100.0
mfcc_42,-100.0,100.0
mfcc_43,-100.0,100.0
mfcc_44,-100.0,100.0
mfcc_45,-100.0,100.0
mfcc_46,-100.0,100.0
mfcc_47,-100.0,100.0
mfcc_48,-100.0,100.0
mfcc_49,-100.0,100.0
mfcc_50,-100.0,100.0
mfcc_51,-100.0,100.0
mfcc_52,-100.0,100.0
mfcc_53,-100.0,100.0
mfcc_54,-100.0,100.0
mfcc_55,-100.0,100.0
mfcc_56,-100.0,100.0
mfcc_57,-100.0,100.0
mfcc_58,-100.0,100.0
mfcc_59,-100.0,100.0
mfcc_60,-100.0,100.0
mfcc_61,-100.0,100.0
mfcc_62,-100.0,100.0
mfcc_63,-100.0,100.0
mfcc_64,-100.0,100.0
mfcc_65,-100.0,100.0
mfcc_66,-100.0,100.0
mfcc_67,-100.0,100.0
mfcc_68,-100.0,100.0
mfcc_69,-100.0,100.0
mfcc_70,-100.0,100.0
mfcc_71,-100.0,100.0
mfcc_72,-100.0,100.0
mfcc_73,-100.0,100.0
mfcc_74,-100.0,100.0
mfcc_75,-100.0,100.0
mfcc_76,-100.0,100.0
mfcc_77,-100.0,100.0
mfcc_78,-100.0,100.0
mfcc_79,-100.0,100.0
mfcc_80,-100.0,100.0
mfcc_81,-100.0,100.0
mfcc_82,-100.0,100.0
mfcc_83,-100.0,100.0
mfcc_84,-100.0,100.0
mfcc_85,-100.0,100.0
mfcc_86,-100.0,100.0
mfcc_87,-100.0,100.0
mfcc_88,-100.0,100.0
mfcc_89,-100.0,100.0
mfcc_90,-100.0,100.0
mfcc_91,-100.0,100.0
mfcc_92,-100.0,100.0
mfcc_93,-100.0,100.0
mfcc_94,-100.0,100.0
mfcc_95,-100.0,100.0
mfcc_96,-100.0,100.0
mfcc_97,-100.0,100.0
mfcc_98,-100.0,100.0
mfcc_99,-100.0,100.0
mfcc_100,-100.0,100.0
